stationReference,month,avg_daily_pet
685513,1,0.5382356471004544
3815TH,1,0.2883654319557306
4074,1,0.3261039424217725
E1013,1,0.3539674045155888
E24805,1,0.38765165396640433
2615,1,0.3721741025917924
1302TH,1,0.40595884538576166
44113,1,0.6107091259669348
2469_w1TH,1,0.40302430654987725
023009,1,0.40195804185064243
5322TH,1,0.3281860689969882
4037,1,0.37472914744134417
E2814,1,0.448508690387779
46129,1,0.5411491028784022
3629TH,1,0.3788287751142395
49129,1,0.5485500051064133
50132,1,0.5512202306576053
1961TH,1,0.389795521354744
730507,1,0.31417138561395613
53132,1,0.3777130764067235
43217,1,0.4430084010107315
48172,1,0.648944881165766
022015,1,0.25640678074427053
724326,1,0.3683976449096294
L0405,1,0.3100506681315213
5318TH,1,0.3321838098807781
45135,1,0.4583536186107865
L1376,1,0.36061391756323474
0006,1,0.28420844747795104
693515,1,0.28847746939223645
L3901,1,0.4221632461934608
L2323,1,0.36089456891864513
2808TH,1,0.3479639740994757
1471TH,1,0.3812191206200646
681213,1,0.3103432535566587
L1241,1,0.3407485530131488
0712TH,1,0.38342488687418463
E1672,1,0.43411092636232007
3404TH,1,0.24505399632423505
740102,1,0.3546807575879233
755900,1,0.5577172356999346
E4412,1,0.22596920964688366
E2717,1,0.3922640601573625
021021,1,0.3302407301434561
44239,1,0.5501569722678039
023037,1,0.2802294655907693
690232,1,0.23384626146813078
43157,1,0.4117585772326406
47141,1,0.6269691011342017
4065,1,0.41199949709770317
E12791,1,0.40560053195002055
E21341,1,0.41058046525765557
700404,1,0.3128709392617102
2012,1,0.42545598448541
735226,1,0.3411329274789941
2272,1,0.3172224595088246
2606,1,0.3810383091745368
1437TH,1,0.38359679705213856
5427TH,1,0.35285842357174346
2003TH,1,0.43349772566726275
L12061,1,0.3395061610648355
4190,1,0.33038448224146305
1099TH,1,0.4118089829371054
53160,1,0.3922836994686619
E22511,1,0.36634942127912773
E2694,1,0.43562185420309674
50123,1,0.5676056131630939
L1515,1,0.3289550933004523
L3804,1,0.4062775185436194
53123,1,0.3884283112537151
E1946,1,0.3534449262625149
F1207,1,0.31199535770195935
43208,1,0.4167102243209246
4116,1,0.4017247164408162
2087,1,0.3790188244659546
F1703,1,0.40109068739912757
L3693,1,0.3607571144759639
712052,1,0.3142747853562174
E22103,1,0.3865856570144794
022006,1,0.3190601982221836
46110,1,0.6657373335059267
L2351,1,0.36826839125339517
E21119,1,0.40414041480742285
45126,1,0.4941378471565478
49110,1,0.6146682604339473
2844TH,1,0.3294775920942867
E1538,1,0.4881394890854307
48126,1,0.568692488307254
E23060,1,0.2255596337452325
L2314,1,0.38372826539744026
F3705,1,0.3730595416784287
750106,1,0.4253790665265092
055817_TG 323,1,0.350546365671259
L2810,1,0.380142153962119
E21838,1,0.41563434110560754
4204,1,0.34100636590495664
2175,1,0.473234918346044
2671,1,0.36984981660075295
4381TH,1,0.25867915380158385
F2502,1,0.336581367717287
E4403,1,0.3989004537964499
E10368,1,0.37552418366961304
E651,1,0.3021487280426819
45214,1,0.476268834403084
4093,1,0.31975458845322935
4427,1,0.29666581809490583
2040,1,0.40334935116627413
5016TH,1,0.4082135352724049
2634,1,0.3537165674093584
024012,1,0.3156926374267139
L2402,1,0.42099084338214066
023028,1,0.30472263181817155
4165TH,1,0.2801939630367172
47132,1,0.5538510142647054
4056,1,0.3303536168517389
3804TH,1,0.305773951951554
46148,1,0.557788225812632
4317TH,1,0.266430027568772
E23705,1,0.43952564365934566
4019,1,0.3321442359660426
50151,1,0.48036777390266644
2226,1,0.35664645552803764
E22006,1,0.37681646412371433
3102TH,1,0.2383482197735836
44220,1,0.5047774449510662
0470TH,1,0.37719130051976585
50114,1,0.6286269106309398
E21778,1,0.39884546939830906
E24899,1,0.3020392474487272
43236,1,0.4127667281675331
L1506,1,0.3347733974306885
710125,1,0.30733290370714955
48191,1,0.7136737929831701
1980TH,1,0.416949991034479
E23186,1,0.3666487245487641
F2405,1,0.33910886524271683
735430,1,0.3305711856772646
733020,1,0.3831849457188566
45117,1,0.4761467449102601
L1358,1,0.3818026362123613
48117,1,0.6708868686924561
50189,1,0.7743139101766849
E6980,1,0.43581101453730464
52120,1,0.4911715069801267
5420TH,1,0.3515759867278048
021040,1,0.4637877071086797
735022,1,0.3494967255986179
2662,1,0.3465073905535626
E2105,1,0.4374731023004521
E4060,1,0.2881956516312475
E642,1,0.3108469763650185
E24319,1,0.37712393856623627
